collector_number,casting_name,name,release_year,series,series_type,series_number,toy_number,barcode,primary_color,secondary_color,manufacturer,category,scale,packaging_type,country_of_manufacture,description,image_url
001/250,Mazda Autozam,Mazda Autozam,2024,HW Dream Garage,Mainline,3/5,HRY51,,,,Mazda,HW Dream Garage,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/4d/TexasToot.jpg/revision/latest
002/250,Batmobile,Batmobile,2024,Batman,Mainline,1/5,HTB21,,,,DC Comics,Batman,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/2/2e/HTB21-LOOSE.jpg/revision/latest
003/250,Monster High Ghoul Mobile,Monster High Ghoul Mobile,2024,HW Screen Time,Mainline,1/10,HRY45,,,,Hot Wheels,HW Screen Time,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/c4/GhoulMobile.jpg/revision/latest
004/250,U.S.S. Enterprise NCC-1701,U.S.S. Enterprise NCC-1701,2024,HW Screen Time,Mainline,2/10,HTB32,,,,Hot Wheels,HW Screen Time,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/8a/2024-004_HTB32_USS_ENTERPRISE_open-1.jpg/revision/latest
005/250,Hot Wheels High,Hot Wheels High,2024,HW Fast Transit,Mainline,1/5,HTB42,,,,Hot Wheels,HW Fast Transit,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/e3/HTB42.jpg/revision/latest
006/250,Custom Otto,Custom Otto,2024,HW Dream Garage,Mainline,1/5,HTB49,,,,Hot Wheels,HW Dream Garage,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/35/HTB49.jpg/revision/latest
007/250,'15 Dodge Charger SRT,'15 Dodge Charger SRT,2024,HW First Response,Mainline,1/10,HTB56,,,,Dodge,HW First Response,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/54/HTB56.jpg/revision/latest
008/250,'47 Chevy Fleetline,'47 Chevy Fleetline,2024,HW First Response,Mainline,2/10,HTF15,,,,Chevrolet,HW First Response,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/f8/ChevroletFleetline.jpg/revision/latest
009/250,Runway Res-Q,Runway Res-Q,2024,HW First Response,Mainline,3/10,HTB57,,,,Hot Wheels,HW First Response,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/e2/Runway_Res-Q_HTB57.jpg/revision/latest
010/250,Mod Speeder,Mod Speeder,2024,HW Modified,Mainline,1/10,HTB64,,,,Hot Wheels,HW Modified,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/0e/HTB64_carded.jpg/revision/latest
