collector_number,casting_name,name,release_year,series,series_type,series_number,toy_number,barcode,primary_color,secondary_color,manufacturer,category,scale,packaging_type,country_of_manufacture,description,image_url
001/250,Mazda MX-5 Miata,Mazda MX-5 Miata,2025,HW Dream Garage,Mainline,2/5,HYW18,,,,Mazda,HW Dream Garage,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b9/MazdaChimera.jpg/revision/latest
002/250,Batman and Robin Batmobile,Batman and Robin Batmobile,2025,Batman,Mainline,1/5,HYW60,,,,DC Comics,Batman,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/4f/20241205_175912.jpg/revision/latest
003/250,Monster High Ghoul Mobile,Monster High Ghoul Mobile,2025,HW Screen Time,Mainline,1/10,HYW61,,,,Hot Wheels,HW Screen Time,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b4/2025_Monster_High_Ghoul_Mobile.jpg/revision/latest
004/250,Nissan Skyline GT-R (BNR32),Nissan Skyline GT-R (BNR32),2025,HW Screen Time,Mainline,2/10,HYY72,,,,Nissan,HW Screen Time,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/e3/%2789NissanR32.jpg/revision/latest
005/250,Purple Passion,Purple Passion,2025,HW Designed By,Mainline,1/5,HYW63,,,,Hot Wheels,HW Designed By,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/9f/LWPassion.jpg/revision/latest
006/250,Kowloon'd Hypervan,Kowloon'd Hypervan,2025,HW Metro,Mainline,1/5,HYW64,,,,Hot Wheels,HW Metro,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/4e/2025_Kowloon%27d_Hypervan.jpg/revision/latest
007/250,Small Bloc,Small Bloc,2025,HW Metro,Mainline,2/5,HYW65,,,,Hot Wheels,HW Metro,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/37/1st_2025_Small_Bloc.jpg/revision/latest
008/250,Mazda Autozam,Mazda Autozam,2025,HW Dream Garage,Mainline,1/5,HYW66,,,,Mazda,HW Dream Garage,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/5b/2025_Mazda_Autozam_Red.jpg/revision/latest
009/250,Tesla Model S Plaid,Tesla Model S Plaid,2025,HW EV,Mainline,1/10,HYW86,,,,Tesla,HW EV,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/a3/HWPlaid.jpg/revision/latest
010/250,Deora III,Deora III,2025,HW EV,Mainline,2/10,HYW67,,,,Hot Wheels,HW EV,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/a8/25DeoraIII.jpeg/revision/latest
011/250,Kei Swap,Kei Swap,2025,HW Art Cars,Mainline,1/10,HYW14,,,,Hot Wheels,HW Art Cars,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/f7/KeiSwap.jpg/revision/latest
012/250,Custom '53 Chevy,Custom '53 Chevy,2025,HW Art Cars,Mainline,2/10,HYW68,,,,Chevrolet,HW Art Cars,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/6d/C53C_HWTIKITIME_2025_cropped.jpg/revision/latest
013/250,Nerve Hammer,Nerve Hammer,2025,X-Raycers,Mainline,1/10,HYW69,,,,Hot Wheels,X-Raycers,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/08/1st_2025_Nerve_Hammer.jpg/revision/latest
014/250,Draftnator,Draftnator,2025,X-Raycers,Mainline,2/10,HYW70,,,,Hot Wheels,X-Raycers,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/68/1st_2025_Draftnator.jpg/revision/latest
015/250,Morgan Super 3,Morgan Super 3,2025,Factory Fresh,Mainline,1/5,HYW13,,,,Hot Wheels,Factory Fresh,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/69/MorganSuper3.jpg/revision/latest
